brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-01-04,9.0,8629a0b27ffffff,7,8,9,11,15,4,8,62,26,22
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-01-11,11.0,8629a0b27ffffff,11,12,4,10,17,7,4,65,19,37
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-01-18,10.0,8629a0b27ffffff,8,9,8,8,14,5,5,57,22,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-01-25,11.0,8629a0b27ffffff,8,9,17,7,8,6,5,60,25,30
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-02-01,8.0,8629a0b27ffffff,14,10,12,13,3,8,6,66,30,27
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-02-08,9.0,8629a0b27ffffff,6,6,4,9,13,3,11,52,19,29
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-02-15,8.0,8629a0b27ffffff,7,8,3,12,9,8,8,55,23,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-02-22,8.0,8629a0b27ffffff,6,10,7,9,14,8,7,61,24,31
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-03-01,9.5,8629a0b27ffffff,10,4,6,9,14,7,4,54,25,20
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-03-08,11.0,8629a0b27ffffff,15,15,11,12,11,13,11,88,42,32
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-03-15,8.5,8629a0b27ffffff,9,12,10,2,6,8,13,60,21,31
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-03-22,9.0,8629a0b27ffffff,6,11,12,9,5,17,7,67,25,34
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-03-29,19.0,8629a0b27ffffff,12,9,17,9,7,17,19,90,22,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-04-05,21.0,8629a0b27ffffff,8,11,18,12,23,14,11,97,28,29
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-04-12,13.0,8629a0b27ffffff,12,12,14,11,12,16,8,85,30,30
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-04-19,16.0,8629a0b27ffffff,4,9,6,16,14,19,13,81,27,27
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-04-26,16.0,8629a0b27ffffff,14,14,14,16,15,17,17,107,33,40
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-05-03,16.0,8629a0b27ffffff,16,13,16,14,22,12,10,103,32,45
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-05-10,12.0,8629a0b27ffffff,9,8,13,11,17,10,19,87,30,41
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-05-24,12.0,8629a0b27ffffff,12,10,13,22,23,11,17,108,35,47
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-05-31,11.0,8629a0b27ffffff,13,11,15,13,13,14,8,87,30,39
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-06-07,19.0,8629a0b27ffffff,14,14,18,15,16,13,10,100,32,33
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-06-14,10.0,8629a0b27ffffff,12,7,13,11,14,15,7,79,30,36
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-06-21,9.5,8629a0b27ffffff,15,12,13,6,16,9,11,82,44,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-06-28,10.0,8629a0b27ffffff,11,7,18,11,8,7,10,72,32,32
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-07-05,9.5,8629a0b27ffffff,5,12,12,12,15,12,8,76,38,27
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-07-12,8.0,8629a0b27ffffff,9,9,16,8,18,10,12,82,39,30
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-07-19,8.0,8629a0b27ffffff,7,7,10,14,16,9,9,72,22,33
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-07-26,11.0,8629a0b27ffffff,11,13,12,9,11,20,9,85,22,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-08-02,12.0,8629a0b27ffffff,13,10,15,10,11,20,10,89,31,33
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-08-09,11.0,8629a0b27ffffff,21,17,13,10,16,18,8,103,33,31
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-08-16,9.0,8629a0b27ffffff,18,8,9,13,19,20,8,95,38,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-08-23,10.0,8629a0b27ffffff,13,14,17,16,17,11,9,97,35,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-08-30,10.0,8629a0b27ffffff,7,21,7,21,10,5,9,80,28,31
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-09-06,9.0,8629a0b27ffffff,8,9,18,10,15,11,13,84,27,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-09-13,9.0,8629a0b27ffffff,12,13,15,8,9,15,9,81,33,28
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-09-20,10.0,8629a0b27ffffff,4,14,13,8,17,14,14,84,37,34
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-09-27,17.0,8629a0b27ffffff,13,5,8,5,7,5,10,53,18,35
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-10-04,11.0,8629a0b27ffffff,4,6,12,7,5,8,7,49,21,22
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-10-11,9.0,8629a0b27ffffff,8,14,10,17,5,7,5,66,17,42
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-10-18,10.0,8629a0b27ffffff,2,10,16,10,15,8,4,65,23,32
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-10-25,9.0,8629a0b27ffffff,9,11,6,12,11,10,6,65,25,26
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-11-01,10.0,8629a0b27ffffff,6,12,12,12,11,9,6,68,13,37
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-11-08,10.0,8629a0b27ffffff,11,10,11,18,19,10,15,94,35,36
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-11-15,13.5,8629a0b27ffffff,8,16,19,12,12,16,7,90,28,39
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-11-22,15.0,8629a0b27ffffff,8,12,14,3,15,11,13,76,21,36
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-11-29,15.0,8629a0b27ffffff,12,9,18,8,20,16,6,89,24,34
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-12-06,15.0,8629a0b27ffffff,5,7,14,13,11,3,7,60,24,18
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-12-13,11.0,8629a0b27ffffff,14,12,14,10,7,13,11,81,34,38
Burger King,33.6436,-117.7437,8695 Irvine Center Dr,Irvine,92618.0,2021-12-20,10.0,8629a0b27ffffff,7,10,10,5,3,2,3,40,13,24
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-07-26,10.0,8629a54d7ffffff,9,14,10,8,7,12,3,63,18,39
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-08-02,9.0,8629a54d7ffffff,12,12,13,15,15,6,9,82,27,37
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-08-09,10.0,8629a54d7ffffff,9,18,14,7,5,8,10,71,19,34
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-08-16,10.0,8629a54d7ffffff,10,12,17,19,6,5,6,75,21,33
Burger King,33.6603,-117.8737,2122 SE Bristol St,Newport Beach,92660.0,2021-08-23,8.0,8629a54d7ffffff,9,10,5,9,9,9,5,56,10,31
