brands,latitude,longitude,street_address,city,postal_code,week_start_date,median_dwell,h3_cell,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,total_visits,android,ios
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-02-08,8.0,8629a094fffffff,9,3,7,13,15,10,8,65,26,30
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-02-15,7.0,8629a094fffffff,12,6,9,3,17,13,13,73,20,45
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-02-22,7.0,8629a094fffffff,5,10,11,9,13,11,12,71,16,45
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-03-01,7.0,8629a094fffffff,10,7,4,11,14,18,16,80,24,55
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-03-08,7.0,8629a094fffffff,10,10,8,7,19,4,11,69,16,42
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-03-15,8.0,8629a094fffffff,1,6,10,19,14,8,10,68,18,41
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-03-22,7.0,8629a094fffffff,8,13,12,12,12,13,12,82,27,47
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-03-29,9.0,8629a094fffffff,9,8,8,18,12,5,14,74,20,49
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-04-05,7.0,8629a094fffffff,11,9,15,5,6,12,6,64,17,43
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-04-12,7.5,8629a094fffffff,10,5,15,7,22,16,11,86,32,40
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-04-19,9.0,8629a094fffffff,14,10,5,9,22,10,19,89,23,52
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-04-26,9.0,8629a094fffffff,13,10,15,12,16,12,18,96,24,58
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-05-03,7.0,8629a094fffffff,8,12,9,15,18,15,14,91,40,46
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-05-10,9.0,8629a094fffffff,14,14,12,12,15,10,13,90,25,44
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-05-17,6.0,8629a094fffffff,13,13,7,24,14,16,19,106,28,66
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-05-24,8.0,8629a094fffffff,9,10,17,10,10,12,16,84,31,45
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-05-31,8.0,8629a094fffffff,10,14,19,12,12,18,17,102,28,60
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-06-07,9.0,8629a094fffffff,12,9,4,13,16,16,16,86,22,50
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-06-14,7.0,8629a094fffffff,4,9,17,11,10,12,13,76,20,46
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-06-21,8.0,8629a094fffffff,11,17,19,16,12,16,14,105,27,65
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-06-28,8.0,8629a094fffffff,13,12,19,5,20,8,15,92,20,55
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-07-05,7.0,8629a094fffffff,7,10,13,12,12,13,7,74,12,57
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-07-12,9.0,8629a094fffffff,9,5,6,13,10,5,9,57,18,35
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-07-19,8.0,8629a094fffffff,13,14,13,16,8,15,21,100,27,61
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-07-26,8.0,8629a094fffffff,19,11,20,15,11,10,13,99,34,54
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-08-02,10.0,8629a094fffffff,12,3,11,12,13,8,18,77,23,41
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-08-09,8.0,8629a094fffffff,9,10,7,8,13,16,20,83,21,48
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-08-16,10.0,8629a094fffffff,19,12,17,11,15,11,12,97,26,49
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-08-23,8.0,8629a094fffffff,11,8,9,14,31,19,14,106,23,59
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-08-30,8.0,8629a094fffffff,9,15,10,14,11,14,17,90,31,40
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-09-06,10.0,8629a094fffffff,7,15,12,12,23,18,18,105,19,64
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-09-13,8.0,8629a094fffffff,8,16,12,13,12,22,12,95,25,50
Taco Bell,33.501,-117.6605,31771 Del Obispo St,San Juan Capistrano,92675.0,2021-09-20,10.0,8629a094fffffff,8,11,13,13,17,21,19,102,22,63
